LastName,FirstName,Department,JobTitle,Salary,YearsOfExperience
Smith,Alex,Finance,Human Resources Specialist,78020.48,15
Garcia,Laura,IT,Security Officer,67020.97,29
Miller,Chris,Library,Accountant,31903.68,13
Martinez,Michael,Research,Registrar Clerk,34867.43,34
Smith,Sarah,Research,Lab Technician,73292.78,23
Miller,Jane,Maintenance,Lab Technician,42297.57,24
Smith,Chris,HR,Administrative Assistant,63549.68,1
Davis,Jane,Administration,Facilities Manager,63418.33,33
Jones,Anna,HR,Lab Technician,58982.1,20
Smith,Michael,Library,Facilities Manager,79919.47,34
Jones,Michael,HR,Administrative Assistant,58358.51,13
Jones,Alex,HR,Library Technician,79197.85,25
Rodriguez,John,Finance,Accountant,51351.07,3
Jones,Emily,Administration,Human Resources Specialist,55608.72,32
Miller,Alex,Administration,Administrative Assistant,68650.63,6
Jones,Anna,Library,IT Support Specialist,40142.78,23
Williams,Anna,Research,IT Support Specialist,53448.21,18
Johnson,Emily,Research,Human Resources Specialist,54739.19,17
Rodriguez,Alex,Administration,Facilities Manager,41244.57,34
Rodriguez,Jane,IT,Facilities Manager,60899.0,2
Miller,David,Administration,Lab Technician,35573.37,17
Rodriguez,Michael,Maintenance,Accountant,64810.3,6
Davis,Jane,IT,IT Support Specialist,38503.7,8
Smith,David,Administration,Human Resources Specialist,65739.08,2
Williams,Jane,HR,Library Technician,72799.68,6
Rodriguez,Anna,Research,Administrative Assistant,50347.04,24
Williams,Alex,Research,Security Officer,46162.88,33
Miller,Michael,IT,Security Officer,45104.73,13
Jones,David,HR,Administrative Assistant,35924.09,30
Davis,Emily,Research,Lab Technician,30962.62,6
Jones,Michael,HR,Lab Technician,49126.72,15
Martinez,Emily,Maintenance,Human Resources Specialist,40114.67,10
Davis,Alex,Research,Accountant,52861.54,33
Rodriguez,Emily,Administration,Security Officer,76553.53,35
Davis,David,Finance,Registrar Clerk,51206.32,3
Miller,Jane,IT,Accountant,63231.4,29
Johnson,Emily,Research,Human Resources Specialist,40840.3,31
Brown,Alex,HR,Library Technician,78801.7,26
Rodriguez,Jane,Maintenance,Library Technician,55901.88,1
Martinez,Jane,Maintenance,Registrar Clerk,58165.42,12
Johnson,Jane,Research,Security Officer,32205.64,6
Johnson,Michael,Finance,Registrar Clerk,74027.23,7
Brown,Chris,IT,Library Technician,49137.01,33
Smith,Michael,IT,Security Officer,49846.24,27
Rodriguez,David,Finance,Administrative Assistant,47253.43,26
Miller,Sarah,Library,Lab Technician,30724.25,23
Martinez,Alex,Administration,Facilities Manager,60404.91,16
Martinez,Chris,Administration,Lab Technician,54808.41,2
Brown,Michael,Finance,Registrar Clerk,41564.96,9
Miller,David,HR,IT Support Specialist,44493.69,31
Smith,David,Maintenance,Library Technician,66337.78,14
Rodriguez,Alex,Maintenance,Facilities Manager,41272.53,15
Brown,Michael,IT,Lab Technician,78323.74,21
Smith,Emily,Library,Security Officer,70153.0,13
Williams,Sarah,Administration,Facilities Manager,36831.73,9
Brown,Chris,IT,Lab Technician,77067.68,8
Williams,Michael,Administration,Lab Technician,63721.39,23
Johnson,Anna,Library,Library Technician,66165.04,24
Davis,Alex,Finance,Human Resources Specialist,63878.72,2
Miller,Chris,Finance,Accountant,66828.44,28
Rodriguez,David,Maintenance,Human Resources Specialist,65653.94,6
Davis,Jane,Research,Registrar Clerk,54865.9,20
Rodriguez,Chris,Finance,Human Resources Specialist,47233.34,22
Johnson,Emily,Research,Security Officer,76177.71,13
Martinez,Jane,Administration,Accountant,57851.3,29
Davis,Sarah,HR,Accountant,53046.61,9
Brown,Alex,Maintenance,Facilities Manager,41776.17,19
Martinez,Alex,Administration,Facilities Manager,70298.21,31
Miller,Chris,HR,Registrar Clerk,71804.34,35
Brown,Chris,Research,Administrative Assistant,74472.45,24
Brown,Sarah,Maintenance,IT Support Specialist,71481.48,35
Jones,Sarah,Finance,Security Officer,61407.95,31
Smith,Laura,Library,Accountant,72653.28,17
Williams,Sarah,Research,Lab Technician,63344.65,26
Martinez,Anna,Administration,Accountant,60442.66,16
Smith,Michael,IT,IT Support Specialist,37010.55,6
Davis,Anna,Research,Facilities Manager,43209.16,6
Miller,Laura,Research,Accountant,36126.64,17
Williams,Alex,Finance,Facilities Manager,65440.66,11
Johnson,Emily,Library,Accountant,60809.69,10
Johnson,Jane,Library,Registrar Clerk,52421.54,19
Rodriguez,Alex,Research,Accountant,65739.09,6
Martinez,Chris,Research,Library Technician,79232.5,21
Rodriguez,Anna,Maintenance,Security Officer,43375.9,16
Martinez,Chris,Maintenance,Human Resources Specialist,67053.76,17
Rodriguez,David,Research,IT Support Specialist,55968.97,23
Jones,Sarah,HR,Security Officer,34478.77,24
Rodriguez,Anna,Research,Accountant,71993.86,29
Miller,Sarah,Administration,Facilities Manager,78043.66,29
Jones,Sarah,Maintenance,Facilities Manager,32315.08,7
Jones,Laura,Finance,Security Officer,58426.83,7
Miller,Laura,Library,Security Officer,47322.96,31
Miller,Chris,Administration,Administrative Assistant,59841.22,13
Jones,Emily,HR,Facilities Manager,35668.24,31
Garcia,Chris,Library,Accountant,59976.2,8
Brown,Laura,Library,Accountant,64007.96,3
Brown,John,Maintenance,Administrative Assistant,74546.26,1
Williams,Anna,Library,Library Technician,34048.77,5
Davis,David,IT,IT Support Specialist,57993.97,2
Jones,David,HR,Facilities Manager,32662.56,7
Brown,John,Administration,Administrative Assistant,76932.88,13
Smith,John,IT,Library Technician,48844.98,26
Davis,Alex,Library,Human Resources Specialist,73697.74,17
Smith,Jane,Administration,Lab Technician,68759.5,28
Smith,Jane,Administration,Administrative Assistant,68489.05,1
Garcia,Michael,Finance,Human Resources Specialist,46878.71,2
Davis,David,Maintenance,Registrar Clerk,51026.81,17
Garcia,Sarah,IT,Registrar Clerk,37634.25,17
Davis,Emily,HR,Human Resources Specialist,55820.23,8
Martinez,Michael,IT,Library Technician,58513.52,17
Rodriguez,John,HR,Registrar Clerk,47686.67,15
Garcia,Anna,Research,Human Resources Specialist,32407.54,25
Smith,Emily,Research,Lab Technician,60421.76,24
Rodriguez,Alex,Administration,Accountant,32048.92,18
Brown,John,Maintenance,Administrative Assistant,67444.54,17
Johnson,Emily,Administration,Accountant,34949.22,12
Williams,Laura,Administration,Library Technician,46009.53,34
Martinez,David,HR,Administrative Assistant,42958.19,21
Davis,David,Library,Accountant,73259.8,2
Martinez,Emily,Finance,Lab Technician,50124.98,17
Smith,John,Library,IT Support Specialist,77146.07,32
Johnson,Alex,Maintenance,Facilities Manager,34918.02,26
Jones,Chris,Administration,Facilities Manager,70715.04,13
Jones,Laura,HR,Lab Technician,44615.53,4
Jones,Michael,Library,Facilities Manager,64097.24,26
Davis,Anna,Maintenance,Security Officer,42135.06,11
Martinez,Jane,Administration,Facilities Manager,48032.56,6
Garcia,Anna,Finance,IT Support Specialist,48018.01,15
Rodriguez,Laura,Library,Human Resources Specialist,34581.44,25
Garcia,Laura,Library,Accountant,59706.31,31
Smith,Anna,HR,Human Resources Specialist,36336.37,24
Williams,Sarah,IT,Security Officer,33065.31,16
Brown,John,Research,IT Support Specialist,69947.17,12
Davis,Anna,HR,Administrative Assistant,77920.54,25
Miller,Laura,Maintenance,Library Technician,69113.07,10
Davis,Alex,Research,Accountant,42358.16,19
Martinez,Sarah,Administration,Human Resources Specialist,61783.11,28
Rodriguez,Emily,Research,Library Technician,57415.04,4
Williams,Anna,Library,Human Resources Specialist,39607.52,7
Garcia,John,HR,Registrar Clerk,33341.06,11
Brown,Emily,Maintenance,IT Support Specialist,68220.67,26
Johnson,Emily,Library,Administrative Assistant,42643.27,31
Miller,Anna,Research,Administrative Assistant,70495.73,6
Jones,David,Research,IT Support Specialist,65340.47,6
Miller,Jane,HR,IT Support Specialist,74403.94,10
Davis,Chris,Research,IT Support Specialist,57850.04,28
Martinez,Sarah,Library,Registrar Clerk,38369.13,32
Brown,Sarah,Administration,Library Technician,79680.28,21
Johnson,Emily,Administration,Lab Technician,62341.67,25
Garcia,Emily,Library,Facilities Manager,67068.69,21
Brown,Sarah,IT,Security Officer,63540.21,19
Rodriguez,Alex,HR,Accountant,77899.34,14
Smith,Emily,Library,Lab Technician,78028.47,19
Johnson,Anna,Maintenance,Human Resources Specialist,47640.96,3
Williams,John,Finance,Human Resources Specialist,40407.64,33
Johnson,Michael,Finance,Administrative Assistant,63180.69,13
Davis,Anna,Library,Security Officer,30206.78,9
Rodriguez,Emily,Administration,Lab Technician,49666.44,5
Davis,Alex,IT,Security Officer,61809.68,28
Brown,David,Research,Registrar Clerk,77906.25,2
Martinez,Alex,Administration,Security Officer,76095.06,35
Davis,Michael,Library,Human Resources Specialist,37874.22,12
Brown,Chris,Finance,Registrar Clerk,69987.87,33
Brown,Michael,Finance,Human Resources Specialist,45306.37,15
Williams,Michael,Maintenance,Accountant,53464.03,21
Garcia,Emily,Administration,IT Support Specialist,52841.87,11
Rodriguez,Alex,Research,Registrar Clerk,39760.69,34
Williams,Laura,Administration,Security Officer,70361.89,21
Miller,Michael,Finance,Registrar Clerk,62306.87,28
Davis,Laura,IT,Facilities Manager,61287.52,11
Garcia,Anna,IT,Registrar Clerk,37553.26,35
Rodriguez,Anna,Finance,Security Officer,58349.8,9
Garcia,John,Finance,Security Officer,53770.87,20
Williams,Michael,HR,Registrar Clerk,30421.03,32
Brown,David,Finance,Library Technician,39160.1,9
Smith,Chris,Research,Human Resources Specialist,60485.01,19
Miller,David,Maintenance,Human Resources Specialist,39626.97,26
Williams,David,Library,IT Support Specialist,43162.15,4
Garcia,Anna,Administration,Human Resources Specialist,33780.4,1
Miller,Michael,IT,Lab Technician,62737.77,15
Miller,Laura,Administration,Administrative Assistant,67263.13,2
Davis,Michael,Administration,Registrar Clerk,30275.5,14
Smith,Sarah,Finance,Human Resources Specialist,72094.81,15
Jones,John,Library,IT Support Specialist,64994.33,35
Davis,Emily,IT,Facilities Manager,37672.59,34
Brown,Laura,Research,Facilities Manager,63151.82,19
Martinez,David,Finance,Security Officer,58911.75,16
Jones,John,HR,Registrar Clerk,50614.9,21
Williams,Michael,IT,Administrative Assistant,60901.9,4
Williams,David,Administration,Security Officer,59490.79,20
Garcia,Jane,Research,Human Resources Specialist,35865.06,32
Smith,Anna,HR,Library Technician,51146.42,24
Davis,Sarah,HR,Accountant,73457.22,13
Johnson,Anna,IT,Security Officer,78571.78,16
Miller,Chris,Administration,Registrar Clerk,34404.59,35
Smith,Laura,Finance,Human Resources Specialist,52682.99,11
Brown,Alex,Maintenance,Library Technician,58840.66,11
Martinez,Anna,Administration,Accountant,34245.96,26
Williams,Jane,Research,Registrar Clerk,62579.3,15
Rodriguez,Laura,HR,Library Technician,44838.06,31
Johnson,David,Library,Human Resources Specialist,71727.87,6
Williams,Emily,IT,Facilities Manager,61168.66,29
Brown,Chris,Maintenance,Registrar Clerk,78388.6,4
Smith,Sarah,Maintenance,IT Support Specialist,48932.24,31
Smith,Michael,Finance,Registrar Clerk,60578.53,3
Smith,Emily,IT,Human Resources Specialist,31459.72,2
Jones,Alex,Maintenance,Security Officer,46493.84,33
Davis,Chris,Finance,Library Technician,52230.24,6
Smith,Laura,Administration,Library Technician,52473.81,32
Williams,Anna,Maintenance,Library Technician,58566.74,20
Brown,Alex,HR,Registrar Clerk,68845.44,22
Johnson,Jane,Maintenance,Human Resources Specialist,30964.06,10
Davis,Chris,Administration,Registrar Clerk,39312.46,23
Brown,Chris,HR,Accountant,30362.52,18
Jones,Michael,Library,Library Technician,72826.69,11
Garcia,Anna,Maintenance,Lab Technician,79048.75,1
Davis,Emily,IT,Registrar Clerk,39972.55,13
Miller,Jane,Research,IT Support Specialist,61613.55,33
Davis,David,Finance,Facilities Manager,35521.31,2
Miller,Laura,Library,IT Support Specialist,59327.09,29
Smith,Sarah,Administration,Registrar Clerk,49737.28,4
Garcia,Chris,Finance,Lab Technician,49706.49,11
Williams,Anna,Maintenance,Lab Technician,43016.23,4
Johnson,John,Finance,Administrative Assistant,39772.47,35
Williams,Anna,Finance,Library Technician,67941.55,16
Smith,David,Research,Facilities Manager,30083.44,23
Johnson,John,IT,IT Support Specialist,44157.15,14
Rodriguez,Sarah,Maintenance,Facilities Manager,47503.52,16
Martinez,Alex,Maintenance,Registrar Clerk,40772.17,33
Rodriguez,Sarah,Research,Facilities Manager,45855.17,23
Rodriguez,David,HR,Facilities Manager,74083.7,6
Johnson,Alex,Library,IT Support Specialist,44332.09,16
Jones,Anna,IT,Lab Technician,53225.65,6
Jones,John,Maintenance,Accountant,31547.54,14
Davis,Anna,IT,Lab Technician,43638.6,33
Smith,Michael,Library,Administrative Assistant,40278.42,4
Martinez,John,HR,Facilities Manager,42931.22,9
Brown,John,Library,Lab Technician,59831.47,27
Williams,Jane,Administration,Security Officer,58662.19,8
Garcia,Alex,Maintenance,Library Technician,56176.75,7
Garcia,John,Administration,Library Technician,40743.29,28
Garcia,Chris,Finance,Administrative Assistant,64090.61,23
Martinez,Jane,IT,Administrative Assistant,64213.73,15
Garcia,Sarah,IT,Facilities Manager,71346.75,8
Williams,Alex,IT,Registrar Clerk,40237.33,28
Brown,Laura,Library,Library Technician,44458.25,19
Brown,David,Finance,Administrative Assistant,65361.87,6
Brown,Michael,IT,Library Technician,73021.73,1
Brown,David,IT,Registrar Clerk,53372.87,1
Davis,Alex,Maintenance,Library Technician,30340.69,19
Jones,Laura,Finance,Security Officer,40170.36,18
Rodriguez,Emily,Research,Human Resources Specialist,34424.69,33
Davis,David,IT,IT Support Specialist,35099.42,24
Garcia,Alex,Finance,Security Officer,33359.11,27
Garcia,John,Library,Accountant,75986.71,1
Martinez,David,Library,Administrative Assistant,43550.98,17
Martinez,David,Maintenance,Facilities Manager,65900.48,24
Martinez,Anna,Finance,Registrar Clerk,49494.38,15
Brown,Jane,Maintenance,Facilities Manager,76835.66,6
Miller,Jane,Library,Human Resources Specialist,64320.68,2
Martinez,David,Administration,Lab Technician,51200.68,17
Jones,Michael,Research,Library Technician,69641.55,29
Brown,Laura,Library,Security Officer,70658.29,4
Johnson,Anna,HR,Accountant,60422.73,15
Rodriguez,John,IT,Library Technician,75782.86,31
Rodriguez,Sarah,Administration,Security Officer,38800.16,19
Martinez,David,IT,Registrar Clerk,50771.51,35
Johnson,Sarah,Research,Lab Technician,34744.46,26
Martinez,Anna,Finance,Accountant,79859.12,21
Williams,Anna,Administration,Security Officer,38054.24,26
Williams,Chris,Library,Human Resources Specialist,64121.32,19
Johnson,Anna,HR,Human Resources Specialist,61255.92,21
Garcia,Alex,Finance,Security Officer,54646.81,9
Smith,Sarah,Administration,Accountant,32852.87,21
Martinez,Alex,Finance,Administrative Assistant,33510.8,31
Johnson,David,Administration,Human Resources Specialist,33827.36,4
Williams,Emily,IT,Accountant,65365.38,20
Williams,John,HR,Accountant,69386.54,1
Johnson,Emily,HR,Accountant,65280.53,24
Smith,Chris,HR,IT Support Specialist,33374.35,19
Garcia,Laura,Library,Library Technician,58875.88,3
Miller,Laura,Research,Human Resources Specialist,65896.89,15
Garcia,David,HR,Accountant,79331.85,3
Brown,Alex,Administration,Registrar Clerk,64801.48,15
Johnson,Alex,Maintenance,Administrative Assistant,53372.08,5
Davis,Laura,Research,Human Resources Specialist,44057.1,2
Jones,Jane,Administration,Human Resources Specialist,67751.98,17
Miller,Chris,Administration,Accountant,37624.83,26
Martinez,Alex,HR,Lab Technician,62889.01,8
Martinez,David,Administration,Registrar Clerk,59053.09,6
Jones,Alex,Library,IT Support Specialist,65447.94,17
Miller,Laura,Maintenance,Library Technician,37362.83,34
Miller,Emily,Administration,Security Officer,40412.64,20
Jones,David,Administration,Security Officer,55627.42,32
Johnson,Emily,Maintenance,Human Resources Specialist,37606.42,14
Miller,David,IT,IT Support Specialist,78308.44,20
Martinez,Laura,Administration,Registrar Clerk,30500.2,12
Rodriguez,Jane,Administration,Human Resources Specialist,77925.3,28
Williams,Chris,HR,Human Resources Specialist,56567.61,28
Miller,Alex,Finance,Lab Technician,59736.45,27
Jones,Sarah,Maintenance,Registrar Clerk,71414.91,10
Williams,Michael,Administration,Facilities Manager,76342.31,18
Martinez,Laura,IT,Human Resources Specialist,60996.79,8
Johnson,David,Library,Lab Technician,78926.94,9
Rodriguez,John,Finance,Facilities Manager,65753.68,27
Brown,David,IT,Facilities Manager,31099.32,19
Martinez,David,Library,IT Support Specialist,66785.33,6
Martinez,Alex,Administration,Registrar Clerk,41758.11,24
Davis,Jane,Research,Human Resources Specialist,66240.91,12
Williams,Jane,IT,Library Technician,39599.48,32
Miller,Jane,Library,Accountant,70226.36,16
Johnson,Sarah,Finance,Accountant,41157.34,15
Rodriguez,Alex,Maintenance,Registrar Clerk,42724.88,7
Martinez,Alex,IT,Security Officer,30431.07,32
Garcia,Chris,Research,Accountant,78207.1,14
Davis,Alex,Finance,Administrative Assistant,67570.11,20
Garcia,Anna,Research,Administrative Assistant,72130.74,8
Miller,David,HR,Human Resources Specialist,46197.3,17
Garcia,John,Finance,Security Officer,58513.65,2
Jones,Chris,Finance,IT Support Specialist,31748.7,10
Garcia,Laura,IT,Accountant,76703.11,24
Martinez,Jane,IT,Security Officer,67663.41,1
Davis,John,Research,Facilities Manager,62320.39,24
Brown,Alex,IT,Security Officer,54931.55,16
Martinez,Sarah,Research,Library Technician,57850.32,3
Martinez,Chris,Finance,IT Support Specialist,62195.26,32
Rodriguez,Alex,Administration,Facilities Manager,37733.3,9
Garcia,John,Library,Registrar Clerk,79573.19,22
Miller,Alex,Finance,Facilities Manager,34545.36,16
Brown,Jane,Administration,Lab Technician,60520.49,30
Smith,Alex,IT,Human Resources Specialist,68263.03,24
Rodriguez,Alex,Research,Lab Technician,67303.37,22
Garcia,Michael,IT,Security Officer,30320.13,3
Rodriguez,Laura,Finance,IT Support Specialist,69675.33,26
Jones,Emily,HR,Security Officer,53035.89,27
Garcia,Emily,Finance,Registrar Clerk,75367.16,4
Williams,Michael,Finance,Accountant,50644.1,12
Martinez,David,IT,Facilities Manager,45711.01,2
Williams,Alex,Maintenance,Facilities Manager,61836.49,33
Johnson,Emily,Library,Facilities Manager,41474.05,32
Jones,Sarah,Research,Lab Technician,40842.71,30
Garcia,Laura,Finance,Library Technician,33580.28,3
Johnson,David,Finance,Registrar Clerk,78251.45,16
Smith,Sarah,Maintenance,Human Resources Specialist,35359.13,10
Martinez,David,HR,Lab Technician,61633.07,12
Jones,Emily,HR,Administrative Assistant,39184.3,28
Jones,David,HR,Lab Technician,69460.94,32
Brown,Emily,HR,Facilities Manager,64135.02,11
Garcia,Michael,Finance,Human Resources Specialist,52015.56,20
Miller,Emily,HR,IT Support Specialist,59231.19,35
Williams,Chris,IT,Facilities Manager,64487.24,29
Miller,Jane,IT,Administrative Assistant,42498.19,11
Rodriguez,Sarah,Maintenance,Administrative Assistant,63635.18,12
Brown,John,HR,Administrative Assistant,32358.21,17
Brown,Chris,Research,Lab Technician,79342.63,35
Martinez,David,Finance,Human Resources Specialist,47846.98,2
Jones,John,IT,Registrar Clerk,43697.3,33
Williams,Anna,HR,Security Officer,66303.53,9
Smith,Alex,Library,Library Technician,40715.98,5
Miller,Laura,Finance,Registrar Clerk,52525.58,16
Miller,Alex,IT,Lab Technician,63022.17,13
Johnson,Chris,HR,IT Support Specialist,40305.05,35
Johnson,Sarah,HR,Administrative Assistant,45686.03,25
Rodriguez,John,Library,Registrar Clerk,34254.82,12
Garcia,John,Library,Security Officer,75455.42,5
Johnson,Sarah,HR,IT Support Specialist,60462.22,35
Johnson,Alex,IT,Accountant,70848.58,28
Martinez,Michael,IT,Security Officer,54664.8,29
Smith,Anna,Library,IT Support Specialist,64927.01,32
Jones,Laura,Administration,IT Support Specialist,34594.23,20
Martinez,Alex,Library,Administrative Assistant,54949.1,19
Smith,Laura,Administration,Facilities Manager,69683.54,26
Johnson,Chris,Finance,Security Officer,31396.3,15
Smith,Emily,Finance,IT Support Specialist,49325.52,33
Brown,Laura,Finance,Registrar Clerk,50031.22,11
Smith,Laura,Finance,Accountant,41410.13,15
Smith,Jane,IT,Accountant,66303.47,26
Garcia,David,Maintenance,Lab Technician,49589.78,10
Williams,Laura,Library,Accountant,55257.52,18
Miller,Michael,HR,Registrar Clerk,38902.9,13
Jones,John,HR,Registrar Clerk,71990.4,4
Martinez,David,IT,Library Technician,65596.38,3
Jones,Michael,Library,IT Support Specialist,59981.43,4
Davis,Sarah,Maintenance,Lab Technician,61674.01,14
Williams,Sarah,Maintenance,Registrar Clerk,34728.28,3
Miller,Anna,HR,Library Technician,62290.8,8
Smith,Sarah,Administration,Facilities Manager,68338.7,21
Smith,Sarah,HR,Accountant,76262.45,2
Martinez,Michael,Library,IT Support Specialist,40670.19,32
Johnson,Alex,Library,Administrative Assistant,35921.86,20
Johnson,Jane,Administration,Human Resources Specialist,58347.75,34
Williams,David,Finance,IT Support Specialist,79222.69,17
Jones,John,Library,Registrar Clerk,43314.4,25
Martinez,Michael,IT,Lab Technician,64604.8,22
Martinez,Michael,IT,Library Technician,40956.19,28
Smith,Alex,IT,Administrative Assistant,33967.34,8
Jones,Sarah,Maintenance,Administrative Assistant,53520.46,8
Brown,Anna,Library,Security Officer,33182.18,13
Jones,Jane,Maintenance,Security Officer,62803.32,4
Smith,Michael,Administration,Lab Technician,64008.0,1
Johnson,Laura,Administration,IT Support Specialist,66565.06,9
Jones,John,HR,IT Support Specialist,73424.0,14
Garcia,John,Administration,Lab Technician,34959.72,33
Smith,Laura,HR,Security Officer,71168.69,20
Davis,Jane,IT,Administrative Assistant,30970.62,18
Miller,Emily,Administration,Registrar Clerk,38099.41,24
Johnson,Anna,Library,Accountant,38093.04,20
Davis,Anna,HR,Library Technician,31283.56,16
Garcia,Laura,Administration,IT Support Specialist,66657.65,9
Johnson,Sarah,Maintenance,Registrar Clerk,38597.92,6
Miller,Laura,Administration,Facilities Manager,74708.5,34
Martinez,Sarah,Administration,Accountant,72964.06,12
Martinez,Alex,Maintenance,Registrar Clerk,68053.99,27
Rodriguez,Anna,Administration,Lab Technician,74104.16,9
Smith,Jane,Research,Accountant,68295.84,14
Johnson,Emily,HR,Facilities Manager,30268.69,6
Smith,Emily,Research,Facilities Manager,53636.07,35
Miller,Sarah,IT,Facilities Manager,47895.34,10
Garcia,Sarah,Maintenance,Library Technician,57664.09,9
Rodriguez,Anna,Administration,Security Officer,55555.46,34
Rodriguez,Anna,Library,Registrar Clerk,57942.58,29
Johnson,Sarah,Library,Library Technician,55693.99,28
Jones,Emily,HR,Facilities Manager,61377.57,3
Martinez,Sarah,Library,Accountant,47680.22,29
Jones,David,HR,Administrative Assistant,79580.62,32
Garcia,Laura,Administration,Lab Technician,79330.72,2
Johnson,Chris,Library,Accountant,30667.51,30
Smith,Jane,Administration,Security Officer,37863.04,23
Miller,Sarah,Library,Human Resources Specialist,41385.58,19
Miller,John,Maintenance,Lab Technician,41460.88,26
Smith,John,Library,Administrative Assistant,79575.17,30
Miller,Alex,Administration,Library Technician,39130.07,27
Smith,Sarah,Maintenance,Library Technician,39783.62,16
Martinez,Laura,HR,Registrar Clerk,36991.07,17
Martinez,Anna,Research,Human Resources Specialist,48581.07,17
Williams,Chris,Finance,Human Resources Specialist,75603.1,1
Davis,Sarah,Administration,Human Resources Specialist,68256.23,35
Johnson,Emily,Maintenance,Registrar Clerk,40312.7,28
Garcia,Laura,Administration,Human Resources Specialist,53815.28,23
Garcia,John,Research,Security Officer,68340.23,11
Brown,Anna,Finance,Security Officer,66024.89,10
Rodriguez,Jane,Administration,Registrar Clerk,40704.23,24
Miller,Alex,Finance,Registrar Clerk,46069.79,33
Brown,David,Administration,Human Resources Specialist,30116.02,22
